Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,FP1_mean_all_s,FP1_laps,FP1_median_longrun_s,FP2_mean_all_s,FP2_laps,FP2_median_longrun_s,FP3_mean_all_s,FP3_laps,FP3_median_longrun_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
ALO,Aston Martin,3.0,15.0,1,Finished,2.0,3.0,0 days 00:01:28.730000,0.465,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
RUS,Mercedes,4.0,12.0,1,Finished,3.0,4.0,0 days 00:01:28.857000,0.592,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
HAM,Mercedes,5.0,10.0,1,Finished,7.0,8.0,0 days 00:01:29.223000,0.958,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
SAI,Ferrari,6.0,8.0,1,Finished,4.0,5.0,0 days 00:01:28.931000,0.666,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
LEC,Ferrari,7.0,6.0,1,Finished,12.0,2.0,0 days 00:01:28.420000,0.155,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
OCO,Alpine,8.0,4.0,1,Finished,6.0,7.0,0 days 00:01:29.078000,0.813,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
GAS,Alpine,9.0,2.0,1,Finished,9.0,10.0,0 days 00:01:29.357000,1.092,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
MAG,Haas F1 Team,10.0,1.0,1,Finished,13.0,13.0,0 days 00:01:29.634000,1.369,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
TSU,AlphaTauri,11.0,0.0,0,Finished,16.0,16.0,0 days 00:01:29.939000,1.674,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
HUL,Haas F1 Team,12.0,0.0,0,Finished,10.0,11.0,0 days 00:01:29.451000,1.186,,,,,,,,,,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
