Driver,grid_pos
VER,1.0
PER,2.0
ALO,5.0
SAI,4.0
HAM,7.0
STR,8.0
RUS,6.0
BOT,12.0
GAS,20.0
ALB,15.0
TSU,14.0
SAR,16.0
MAG,17.0
DEV,19.0
HUL,10.0
ZHO,13.0
NOR,11.0
OCO,9.0
LEC,3.0
PIA,18.0
