Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
DEV,AlphaTauri,14.0,0.0,0,Finished,18.0,18.0,0 days 00:01:30.244000,1.979,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
PIA,McLaren,15.0,0.0,0,Finished,8.0,9.0,0 days 00:01:29.243000,0.978,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
SAR,Williams,16.0,0.0,0,Finished,20.0,20.0,0 days 00:02:08.510000,40.245,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
NOR,McLaren,17.0,0.0,0,Finished,19.0,19.0,0 days 00:01:30.447000,2.182,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
BOT,Alfa Romeo,18.0,0.0,0,Lapped,14.0,14.0,0 days 00:01:29.668000,1.403,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
ALB,Williams,19.0,0.0,0,Retired,17.0,17.0,0 days 00:01:29.994000,1.729,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
STR,Aston Martin,20.0,0.0,0,Retired,5.0,6.0,0 days 00:01:28.945000,0.68,,,,2023,2,Saudi Arabian Grand Prix,2023-03-19,2023_R2
VER,Red Bull Racing,1.0,25.0,1,Finished,1.0,1.0,0 days 00:01:16.732000,0.0,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
HAM,Mercedes,2.0,18.0,1,Finished,3.0,3.0,0 days 00:01:17.104000,0.372,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ALO,Aston Martin,3.0,15.0,1,Finished,4.0,4.0,0 days 00:01:17.139000,0.407,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
STR,Aston Martin,4.0,12.0,1,Finished,6.0,6.0,0 days 00:01:17.308000,0.576,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
PER,Red Bull Racing,5.0,11.0,1,Finished,20.0,20.0,,,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
NOR,McLaren,6.0,8.0,1,Finished,13.0,13.0,0 days 00:01:18.119000,1.387,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
HUL,Haas F1 Team,7.0,6.0,1,Finished,10.0,10.0,0 days 00:01:17.412000,0.68,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
PIA,McLaren,8.0,4.0,1,Finished,16.0,16.0,0 days 00:01:18.517000,1.785,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ZHO,Alfa Romeo,9.0,2.0,1,Finished,17.0,17.0,0 days 00:01:18.540000,1.808,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
TSU,AlphaTauri,10.0,1.0,1,Finished,12.0,12.0,0 days 00:01:18.099000,1.367,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
BOT,Alfa Romeo,11.0,0.0,0,Finished,19.0,19.0,0 days 00:01:18.714000,1.982,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
SAI,Ferrari,12.0,0.0,0,Finished,5.0,5.0,0 days 00:01:17.270000,0.538,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
GAS,Alpine,13.0,0.0,0,Finished,9.0,9.0,0 days 00:01:17.574000,0.842,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
OCO,Alpine,14.0,0.0,0,Finished,11.0,11.0,0 days 00:01:17.768000,1.036,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
DEV,AlphaTauri,15.0,0.0,0,Finished,15.0,15.0,0 days 00:01:18.335000,1.603,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
SAR,Williams,16.0,0.0,0,Finished,18.0,18.0,0 days 00:01:18.557000,1.825,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
MAG,Haas F1 Team,17.0,0.0,0,Finished,14.0,14.0,0 days 00:01:18.129000,1.397,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
RUS,Mercedes,18.0,0.0,0,Retired,2.0,2.0,0 days 00:01:16.968000,0.236,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
ALB,Williams,19.0,0.0,0,Retired,8.0,8.0,0 days 00:01:17.609000,0.877,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
LEC,Ferrari,20.0,0.0,0,Retired,7.0,7.0,0 days 00:01:17.369000,0.637,,,,2023,3,Australian Grand Prix,2023-04-02,2023_R3
PER,Red Bull Racing,1.0,25.0,1,Finished,3.0,3.0,0 days 00:01:40.495000,0.292,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
VER,Red Bull Racing,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:40.391000,0.188,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
LEC,Ferrari,3.0,15.0,1,Finished,1.0,1.0,0 days 00:01:40.203000,0.0,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ALO,Aston Martin,4.0,12.0,1,Finished,6.0,6.0,0 days 00:01:41.253000,1.05,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
SAI,Ferrari,5.0,10.0,1,Finished,4.0,4.0,0 days 00:01:41.016000,0.813,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
HAM,Mercedes,6.0,8.0,1,Finished,5.0,5.0,0 days 00:01:41.177000,0.974,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
STR,Aston Martin,7.0,6.0,1,Finished,9.0,9.0,0 days 00:01:41.576000,1.373,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
RUS,Mercedes,8.0,5.0,1,Finished,11.0,11.0,0 days 00:01:41.654000,1.451,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
NOR,McLaren,9.0,2.0,1,Finished,7.0,7.0,0 days 00:01:41.281000,1.078,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
TSU,AlphaTauri,10.0,1.0,1,Finished,8.0,8.0,0 days 00:01:41.569000,1.366,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
PIA,McLaren,11.0,0.0,0,Finished,10.0,10.0,0 days 00:01:41.611000,1.408,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ALB,Williams,12.0,0.0,0,Finished,12.0,13.0,0 days 00:01:41.818000,1.615,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
MAG,Haas F1 Team,13.0,0.0,0,Finished,16.0,18.0,0 days 00:01:43.417000,3.214,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
GAS,Alpine,14.0,0.0,0,Finished,17.0,19.0,0 days 00:01:44.853000,4.65,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
OCO,Alpine,15.0,0.0,0,Finished,19.0,12.0,0 days 00:01:41.798000,1.595,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
SAR,Williams,16.0,0.0,0,Finished,14.0,15.0,0 days 00:01:42.242000,2.039,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
HUL,Haas F1 Team,17.0,0.0,0,Lapped,20.0,17.0,0 days 00:01:42.755000,2.552,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
BOT,Alfa Romeo,18.0,0.0,0,Lapped,13.0,14.0,0 days 00:01:42.259000,2.056,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
ZHO,Alfa Romeo,19.0,0.0,0,Retired,15.0,16.0,0 days 00:01:42.642000,2.439,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
DEV,AlphaTauri,20.0,0.0,0,Retired,18.0,20.0,0 days 00:01:55.282000,15.079,,,,2023,4,Azerbaijan Grand Prix,2023-04-30,2023_R4
VER,Red Bull Racing,1.0,26.0,1,Finished,9.0,9.0,0 days 00:01:26.814000,0.0,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
PER,Red Bull Racing,2.0,18.0,1,Finished,1.0,1.0,0 days 00:01:26.841000,0.027,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
ALO,Aston Martin,3.0,15.0,1,Finished,2.0,2.0,0 days 00:01:27.097000,0.283,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
RUS,Mercedes,4.0,12.0,1,Finished,6.0,6.0,0 days 00:01:27.743000,0.929,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
SAI,Ferrari,5.0,10.0,1,Finished,3.0,3.0,0 days 00:01:27.148000,0.334,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
HAM,Mercedes,6.0,8.0,1,Finished,13.0,13.0,0 days 00:01:27.846000,1.032,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
LEC,Ferrari,7.0,6.0,1,Finished,7.0,7.0,0 days 00:01:26.964000,0.15,,,,2023,5,Miami Grand Prix,2023-05-07,2023_R5
