Driver,TeamName,finish_pos,points,top10,Status,grid_pos,qual_pos,best_qual_t,delta_to_pole_s,fp_mean_all_s,fp_median_longrun_s,fp_total_laps,year,round,event_name,event_date,group_key
SAR,Williams,20.0,0.0,0,Retired,18.0,19.0,0 days 00:01:23.337000,4.612,,,,2023,8,Canadian Grand Prix,2023-06-18,2023_R8
VER,Red Bull Racing,1.0,26.0,1,Finished,1.0,1.0,0 days 00:01:04.391000,0.0,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
LEC,Ferrari,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:04.439000,0.048,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
PER,Red Bull Racing,3.0,15.0,1,Finished,15.0,15.0,0 days 00:01:05.177000,0.786,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
NOR,McLaren,4.0,12.0,1,Finished,4.0,4.0,0 days 00:01:04.658000,0.267,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
ALO,Aston Martin,5.0,10.0,1,Finished,7.0,7.0,0 days 00:01:04.911000,0.52,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
SAI,Ferrari,6.0,8.0,1,Finished,3.0,3.0,0 days 00:01:04.581000,0.19,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
RUS,Mercedes,7.0,6.0,1,Finished,11.0,11.0,0 days 00:01:05.428000,1.037,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
HAM,Mercedes,8.0,4.0,1,Finished,5.0,5.0,0 days 00:01:04.819000,0.428,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
STR,Aston Martin,9.0,2.0,1,Finished,6.0,6.0,0 days 00:01:04.893000,0.502,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
GAS,Alpine,10.0,1.0,1,Finished,9.0,9.0,0 days 00:01:05.170000,0.779,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
ALB,Williams,11.0,0.0,0,Finished,10.0,10.0,0 days 00:01:05.387000,0.996,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
ZHO,Alfa Romeo,12.0,0.0,0,Lapped,17.0,17.0,0 days 00:01:05.818000,1.427,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
SAR,Williams,13.0,0.0,0,Lapped,18.0,18.0,0 days 00:01:05.948000,1.557,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
OCO,Alpine,14.0,0.0,0,Lapped,12.0,12.0,0 days 00:01:05.453000,1.062,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
BOT,Alfa Romeo,15.0,0.0,0,Lapped,14.0,14.0,0 days 00:01:05.680000,1.289,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
PIA,McLaren,16.0,0.0,0,Lapped,13.0,13.0,0 days 00:01:05.605000,1.214,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
DEV,AlphaTauri,17.0,0.0,0,Lapped,20.0,20.0,0 days 00:01:05.974000,1.583,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
MAG,Haas F1 Team,18.0,0.0,0,Lapped,19.0,19.0,0 days 00:01:05.971000,1.58,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
TSU,AlphaTauri,19.0,0.0,0,Lapped,16.0,16.0,0 days 00:01:05.784000,1.393,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
HUL,Haas F1 Team,20.0,0.0,0,Retired,8.0,8.0,0 days 00:01:05.090000,0.699,,,,2023,9,Austrian Grand Prix,2023-07-02,2023_R9
VER,Red Bull Racing,1.0,26.0,1,Finished,1.0,1.0,0 days 00:01:26.720000,0.0,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
NOR,McLaren,2.0,18.0,1,Finished,2.0,2.0,0 days 00:01:26.961000,0.241,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
HAM,Mercedes,3.0,15.0,1,Finished,7.0,7.0,0 days 00:01:27.211000,0.491,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
PIA,McLaren,4.0,12.0,1,Finished,3.0,3.0,0 days 00:01:27.092000,0.372,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
RUS,Mercedes,5.0,10.0,1,Finished,6.0,6.0,0 days 00:01:27.155000,0.435,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
PER,Red Bull Racing,6.0,8.0,1,Finished,15.0,15.0,0 days 00:01:29.968000,3.248,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
ALO,Aston Martin,7.0,6.0,1,Finished,9.0,9.0,0 days 00:01:27.659000,0.939,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
ALB,Williams,8.0,4.0,1,Finished,8.0,8.0,0 days 00:01:27.530000,0.81,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
LEC,Ferrari,9.0,2.0,1,Finished,4.0,4.0,0 days 00:01:27.136000,0.416,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
SAI,Ferrari,10.0,1.0,1,Finished,5.0,5.0,0 days 00:01:27.148000,0.428,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
SAR,Williams,11.0,0.0,0,Finished,14.0,14.0,0 days 00:01:29.031000,2.311,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
BOT,Alfa Romeo,12.0,0.0,0,Finished,20.0,15.0,0 days 00:01:29.798000,3.078,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
HUL,Haas F1 Team,13.0,0.0,0,Finished,11.0,11.0,0 days 00:01:28.896000,2.176,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
STR,Aston Martin,14.0,0.0,0,Finished,12.0,12.0,0 days 00:01:28.935000,2.215,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
ZHO,Alfa Romeo,15.0,0.0,0,Finished,17.0,17.0,0 days 00:01:30.123000,3.403,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
TSU,AlphaTauri,16.0,0.0,0,Finished,16.0,16.0,0 days 00:01:30.025000,3.305,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
DEV,AlphaTauri,17.0,0.0,0,Finished,18.0,18.0,0 days 00:01:30.513000,3.793,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
GAS,Alpine,18.0,0.0,0,Finished,10.0,10.0,0 days 00:01:27.689000,0.969,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
MAG,Haas F1 Team,19.0,0.0,0,Retired,19.0,19.0,0 days 00:01:32.378000,5.658,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
OCO,Alpine,20.0,0.0,0,Retired,13.0,13.0,0 days 00:01:28.956000,2.236,,,,2023,10,British Grand Prix,2023-07-09,2023_R10
