Driver,qual_pos,Q1,Q2,Q3,best_qual_t,delta_to_pole_s
VER,1.0,0 days 00:01:19.455000,0 days 00:01:19.140000,0 days 00:01:18.792000,0 days 00:01:18.792000,0.0
NOR,2.0,0 days 00:01:19.517000,0 days 00:01:19.293000,0 days 00:01:18.869000,0 days 00:01:18.869000,0.077
PIA,3.0,0 days 00:01:19.711000,0 days 00:01:19.286000,0 days 00:01:18.982000,0 days 00:01:18.982000,0.19
LEC,4.0,0 days 00:01:19.689000,0 days 00:01:19.310000,0 days 00:01:19.007000,0 days 00:01:19.007000,0.215
HAM,5.0,0 days 00:01:19.765000,0 days 00:01:19.371000,0 days 00:01:19.124000,0 days 00:01:19.124000,0.332
RUS,6.0,0 days 00:01:19.414000,0 days 00:01:19.287000,0 days 00:01:19.157000,0 days 00:01:19.157000,0.365
ANT,7.0,0 days 00:01:19.747000,0 days 00:01:19.245000,0 days 00:01:19.200000,0 days 00:01:19.200000,0.408
BOR,8.0,0 days 00:01:19.688000,0 days 00:01:19.323000,0 days 00:01:19.390000,0 days 00:01:19.323000,0.531
ALO,9.0,0 days 00:01:19.658000,0 days 00:01:19.362000,0 days 00:01:19.424000,0 days 00:01:19.362000,0.57
TSU,10.0,0 days 00:01:19.619000,0 days 00:01:19.433000,0 days 00:01:19.519000,0 days 00:01:19.433000,0.641
BEA,11.0,0 days 00:01:19.688000,0 days 00:01:19.446000,,0 days 00:01:19.446000,0.654
HUL,12.0,0 days 00:01:19.777000,0 days 00:01:19.498000,,0 days 00:01:19.498000,0.706
SAI,13.0,0 days 00:01:19.644000,0 days 00:01:19.528000,,0 days 00:01:19.528000,0.736
ALB,14.0,0 days 00:01:19.837000,0 days 00:01:19.583000,,0 days 00:01:19.583000,0.791
OCO,15.0,0 days 00:01:19.816000,0 days 00:01:19.707000,,0 days 00:01:19.707000,0.915
HAD,16.0,0 days 00:01:19.917000,,,0 days 00:01:19.917000,1.125
STR,17.0,0 days 00:01:19.948000,,,0 days 00:01:19.948000,1.156
COL,18.0,0 days 00:01:19.992000,,,0 days 00:01:19.992000,1.2
GAS,19.0,0 days 00:01:20.103000,,,0 days 00:01:20.103000,1.311
LAW,20.0,0 days 00:01:20.279000,,,0 days 00:01:20.279000,1.487
