Driver,qual_pos,delta_to_pole_s,TeamName,grid_pos,grid_drop
ALB,14.0,0.791,Williams,14.0,0.0
ALO,9.0,0.57,Aston Martin,8.0,-1.0
ANT,7.0,0.408,Mercedes,6.0,-1.0
BEA,11.0,0.654,Haas F1 Team,11.0,0.0
BOR,8.0,0.531,Kick Sauber,7.0,-1.0
COL,18.0,1.2,Alpine,17.0,-1.0
GAS,19.0,1.311,Alpine,20.0,1.0
HAD,16.0,1.125,Racing Bulls,19.0,3.0
HAM,5.0,0.332,Ferrari,10.0,5.0
HUL,12.0,0.706,Kick Sauber,12.0,0.0
LAW,20.0,1.487,Racing Bulls,18.0,-2.0
LEC,4.0,0.215,Ferrari,4.0,0.0
NOR,2.0,0.077,McLaren,2.0,0.0
OCO,15.0,0.915,Haas F1 Team,15.0,0.0
PIA,3.0,0.19,McLaren,3.0,0.0
RUS,6.0,0.365,Mercedes,5.0,-1.0
SAI,13.0,0.736,Williams,13.0,0.0
STR,17.0,1.156,Aston Martin,16.0,-1.0
TSU,10.0,0.641,Red Bull Racing,9.0,-1.0
VER,1.0,0.0,Red Bull Racing,1.0,0.0
