Driver,pitstops,avg_stint_len,median_stint_len,stint_count,mean_race_pace_s,stints_hard,stints_medium,stints_soft
ALB,1,25.0,25.0,2,82.88300000000001,1,1,0
ALO,1,10.0,10.0,2,84.2065,1,1,0
ANT,1,25.0,25.0,2,83.55075,1,1,0
BEA,1,25.0,25.0,2,83.73875,1,1,0
BOR,1,25.0,25.0,2,83.69,1,1,0
COL,1,24.5,24.5,2,83.85825,1,1,0
GAS,1,24.5,24.5,2,83.19375,1,0,1
HAD,1,25.0,25.0,2,83.32,1,1,0
HAM,1,25.0,25.0,2,82.74950000000001,1,1,0
LAW,1,25.0,25.0,2,84.27,1,0,1
LEC,1,25.0,25.0,2,82.785,1,1,0
NOR,1,25.0,25.0,2,82.09625,0,1,1
OCO,0,49.0,49.0,1,83.916,1,0,0
PIA,1,25.0,25.0,2,82.262,0,1,1
RUS,1,25.0,25.0,2,83.06200000000001,1,1,0
SAI,1,25.0,25.0,2,83.46025,1,1,0
STR,1,24.5,24.5,2,83.107,1,0,1
TSU,1,25.0,25.0,2,84.0155,1,1,0
VER,1,25.0,25.0,2,82.149,1,1,0
