Driver,grid_pos
VER,1.0
NOR,2.0
PIA,3.0
LEC,4.0
RUS,5.0
HAM,10.0
ALB,14.0
BOR,7.0
ANT,6.0
HAD,19.0
SAI,13.0
BEA,11.0
TSU,9.0
LAW,18.0
OCO,15.0
GAS,20.0
COL,17.0
STR,16.0
ALO,8.0
HUL,12.0
